Value,Disaggregation combinations using this value,Number of indicators
Baden-Württember,1,1
Bayern,1,1
Berlin,1,1
Brandenburg,1,1
Bremen ,1,1
Deutschland,1,1
Hamburg,1,1
Hessen,1,1
Mecklenburg-Vorpommern,1,1
Niedersachsen,1,1
Nordrhein-Westfalen,1,1
Rheinland-Pfalz,1,1
Saarland,1,1
Sachsen-Anhalt,1,1
Sachsen,1,1
Schleswig-Holstein,1,1
Thüringe,1,1
